sample_id,ad_type,gender,age,education,occupation,marital_status,monthly_income,region,BFI_11,BFI_12,BFI_13,BFI_21,BFI_22,BFI_23,BFI_31,BFI_32,BFI_33,BFI_41,BFI_42,BFI_43,BFI_51,BFI_52,BFI_53,ad_att_1,ad_att_2,ad_att_3,ad_att_4,intent_1,intent_2,intent_3,run,source_file,model,response_id,extraversion,agreeableness,conscientiousness,neuroticism,openness,ad_attitude_core,purchase_intention_core,ad_attitude_all_items,purchase_intention_all_items
376,promotion,Female,<20,Bachelor’s degree,Managerial employee,Single,"36,000,000–45,000,000 VND",Chinese,1,4,4,5,3,5,3,3,3,2,4,5,5,5,2,4,5,3,6,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample376__promotion,3.0,4.333333333333333,3.0,3.6666666666666665,4.0,4.5,2.5,4.5,2.0
377,promotion,Female,<20,Bachelor’s degree,Managerial employee,Married,"<15,000,000 VND",Chinese,1,2,5,2,1,5,2,2,4,2,3,1,3,5,4,3,4,5,4,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample377__promotion,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.0,4.0,3.5,3.5,4.0,3.0
378,promotion,Female,<20,Postgraduate degree,Civil servant,Married,"36,000,000–45,000,000 VND",Chinese,2,3,2,2,5,3,5,4,1,4,1,5,1,3,5,3,4,3,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample378__promotion,2.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.0,3.5,2.5,3.75,2.0
379,promotion,Female,40–49,High school,Managerial employee,Divorced,"<15,000,000 VND",Chinese,4,5,4,2,5,1,1,4,1,2,5,5,1,1,5,4,5,3,6,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample379__promotion,4.333333333333333,2.6666666666666665,2.0,4.0,2.3333333333333335,4.5,2.5,4.5,2.0
380,promotion,Male,50–59,Postgraduate degree,Office worker,Living with parents,"<15,000,000 VND",Chinese,1,2,2,4,3,5,3,4,5,3,5,1,2,3,4,3,4,4,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample380__promotion,1.6666666666666667,4.0,4.0,3.0,3.0,3.5,2.5,4.0,2.0
381,promotion,Female,50–59,Bachelor’s degree,Student,Single,">46,000,000 VND",Chinese,5,2,5,4,4,2,5,4,3,4,3,3,4,1,5,4,5,3,6,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample381__promotion,4.0,3.3333333333333335,4.0,3.3333333333333335,3.3333333333333335,4.5,3.5,4.5,3.0
382,promotion,Male,<20,Postgraduate degree,Student,Divorced,"<15,000,000 VND",Chinese,3,1,2,5,3,4,4,1,5,2,2,4,5,4,1,3,4,3,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample382__promotion,2.0,4.0,3.3333333333333335,2.6666666666666665,3.3333333333333335,3.5,2.5,3.75,2.0
383,promotion,Male,30–39,High school,Managerial employee,Living with parents,"26,000,000–35,000,000 VND",Chinese,3,3,5,5,1,5,2,3,5,3,2,2,4,3,3,3,4,3,5,2.0,3.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample383__promotion,3.6666666666666665,3.6666666666666665,3.3333333333333335,2.3333333333333335,3.3333333333333335,3.5,3.0,3.75,2.6666666666666665
384,promotion,Male,20–29,High school,Blue-collar worker,Divorced,"16,000,000–25,000,000 VND",Chinese,1,1,2,4,1,1,3,4,5,1,3,4,1,5,1,3,4,2,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample384__promotion,1.3333333333333333,2.0,4.0,2.6666666666666665,2.3333333333333335,3.5,2.5,3.5,2.0
385,promotion,Male,30–39,Bachelor’s degree,Managerial employee,Living with parents,"26,000,000–35,000,000 VND",Chinese,4,1,4,5,3,1,4,2,1,3,4,1,1,3,3,4,5,3,6,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample385__promotion,3.0,3.0,2.3333333333333335,2.6666666666666665,2.3333333333333335,4.5,2.0,4.5,2.0
386,promotion,Female,40–49,High school,Managerial employee,Divorced,"26,000,000–35,000,000 VND",Chinese,4,4,4,4,4,3,3,4,2,4,2,4,2,1,2,4,5,6,5,3.0,2.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample386__promotion,4.0,3.6666666666666665,3.0,3.3333333333333335,1.6666666666666667,4.5,3.0,5.0,3.0
387,promotion,Female,<20,Postgraduate degree,Civil servant,Single,"26,000,000–35,000,000 VND",Chinese,3,5,3,1,3,2,3,2,1,4,3,4,1,5,4,4,5,3,6,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample387__promotion,3.6666666666666665,2.0,2.0,3.6666666666666665,3.3333333333333335,4.5,2.5,4.5,2.0
388,promotion,Male,50–59,High school,Office worker,Single,"<15,000,000 VND",Chinese,3,4,2,4,1,5,3,4,4,3,1,4,1,3,1,3,4,4,2,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample388__promotion,3.0,3.3333333333333335,3.6666666666666665,2.6666666666666665,1.6666666666666667,3.5,2.5,3.25,2.0
389,promotion,Female,40–49,Bachelor’s degree,Managerial employee,Divorced,"16,000,000–25,000,000 VND",Chinese,5,4,2,2,4,2,1,2,5,4,2,3,5,4,2,3,4,4,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample389__promotion,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.0,3.6666666666666665,3.5,2.5,4.0,2.0
390,promotion,Female,<20,Bachelor’s degree,Student,Divorced,">46,000,000 VND",Chinese,4,2,4,1,2,5,2,3,2,3,4,2,3,3,1,3,2,3,2,1.0,1.0,2.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample390__promotion,3.3333333333333335,2.6666666666666665,2.3333333333333335,3.0,2.3333333333333335,2.5,1.5,2.5,1.3333333333333333
391,promotion,Female,<20,Bachelor’s degree,Office worker,Living with parents,"26,000,000–35,000,000 VND",Chinese,2,2,2,1,5,3,5,2,3,2,5,4,5,2,5,3,4,2,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample391__promotion,2.0,3.0,3.3333333333333335,3.6666666666666665,4.0,3.5,2.5,3.5,2.0
392,promotion,Male,>60,High school,Student,Married,"<15,000,000 VND",Chinese,2,4,3,1,5,1,5,4,3,1,1,2,5,5,5,3,4,5,6,2.0,1.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample392__promotion,3.0,2.3333333333333335,4.0,1.3333333333333333,5.0,3.5,2.5,4.5,2.3333333333333335
393,promotion,Female,20–29,Postgraduate degree,Student,Married,"36,000,000–45,000,000 VND",Chinese,3,4,1,3,2,4,2,1,3,1,4,3,1,5,3,3,4,3,5,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample393__promotion,2.6666666666666665,3.0,2.0,2.6666666666666665,3.0,3.5,2.0,3.75,2.0
394,promotion,Female,50–59,Postgraduate degree,Other,Single,"26,000,000–35,000,000 VND",Chinese,5,2,4,4,5,3,5,5,3,1,1,1,2,1,4,4,5,4,3,2.0,1.0,2.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample394__promotion,3.6666666666666665,4.0,4.333333333333333,1.0,2.3333333333333335,4.5,1.5,4.0,1.6666666666666667
395,promotion,Female,>60,Postgraduate degree,Student,Living with parents,"<15,000,000 VND",Chinese,4,3,2,4,2,3,1,2,1,3,3,4,2,1,4,3,2,2,1,,,,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample395__promotion,3.0,3.0,1.3333333333333333,3.3333333333333335,2.3333333333333335,2.5,,2.0,
396,promotion,Female,50–59,Bachelor’s degree,Civil servant,Single,"16,000,000–25,000,000 VND",Chinese,3,5,2,3,5,3,4,3,5,3,1,4,3,3,4,4,5,4,3,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample396__promotion,3.3333333333333335,3.6666666666666665,4.0,2.6666666666666665,3.3333333333333335,4.5,2.0,4.0,2.0
397,promotion,Male,50–59,Postgraduate degree,Managerial employee,Divorced,"16,000,000–25,000,000 VND",Chinese,3,1,2,4,3,4,4,3,4,2,3,5,1,1,3,3,4,3,2,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample397__promotion,2.0,3.6666666666666665,3.6666666666666665,3.3333333333333335,1.6666666666666667,3.5,2.5,3.0,2.0
398,promotion,Male,20–29,High school,Other,Married,"<15,000,000 VND",Chinese,1,4,5,2,2,4,2,5,1,4,1,3,2,1,1,4,3,3,2,,,,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample398__promotion,3.3333333333333335,2.6666666666666665,2.6666666666666665,2.6666666666666665,1.3333333333333333,3.5,,3.0,
399,promotion,Female,20–29,High school,Student,Divorced,"16,000,000–25,000,000 VND",Chinese,1,5,4,4,2,4,2,3,5,4,5,5,2,3,5,4,5,4,3,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample399__promotion,3.3333333333333335,3.3333333333333335,3.3333333333333335,4.666666666666667,3.3333333333333335,4.5,2.0,4.0,2.0
400,promotion,Male,<20,Postgraduate degree,Blue-collar worker,Single,"16,000,000–25,000,000 VND",Chinese,4,3,5,3,1,2,4,1,5,5,1,1,2,3,5,3,4,2,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample400__promotion,4.0,2.0,3.3333333333333335,2.3333333333333335,3.3333333333333335,3.5,2.5,3.5,2.0
401,promotion,Female,<20,High school,Managerial employee,Single,"36,000,000–45,000,000 VND",Chinese,3,4,5,3,1,4,4,3,2,1,4,1,3,3,1,5,6,4,3,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample401__promotion,4.0,2.6666666666666665,3.0,2.0,2.3333333333333335,5.5,2.0,4.5,2.0
402,promotion,Female,<20,High school,Civil servant,Living with parents,"<15,000,000 VND",Chinese,2,3,5,2,2,2,1,3,3,2,2,3,4,2,4,3,4,2,5,1.0,1.0,2.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample402__promotion,3.3333333333333335,2.0,2.3333333333333335,2.3333333333333335,3.3333333333333335,3.5,1.5,3.5,1.3333333333333333
403,promotion,Female,20–29,Postgraduate degree,Managerial employee,Single,"16,000,000–25,000,000 VND",Chinese,5,4,5,2,5,3,4,1,3,5,1,1,5,3,1,5,4,3,2,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample403__promotion,4.666666666666667,3.3333333333333335,2.6666666666666665,2.3333333333333335,3.0,4.5,2.5,3.5,2.0
404,promotion,Male,20–29,High school,Managerial employee,Single,"16,000,000–25,000,000 VND",Chinese,5,1,2,5,3,4,5,2,3,2,5,3,4,3,4,3,4,5,4,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample404__promotion,2.6666666666666665,4.0,3.3333333333333335,3.3333333333333335,3.6666666666666665,3.5,3.5,4.0,3.0
405,promotion,Male,30–39,High school,Student,Married,"36,000,000–45,000,000 VND",Chinese,2,4,4,1,3,5,3,2,4,3,2,2,1,1,4,4,5,3,4,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample405__promotion,3.3333333333333335,3.0,3.0,2.3333333333333335,2.0,4.5,2.0,4.0,2.0
406,promotion,Female,50–59,Bachelor’s degree,Office worker,Living with parents,">46,000,000 VND",Chinese,1,4,1,4,4,4,4,4,4,3,3,3,2,5,1,4,5,4,3,,,,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample406__promotion,2.0,4.0,4.0,3.0,2.6666666666666665,4.5,,4.0,
407,promotion,Male,40–49,Bachelor’s degree,Student,Divorced,"26,000,000–35,000,000 VND",Chinese,4,1,3,5,5,1,2,4,3,1,2,3,4,3,1,4,5,3,6,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample407__promotion,2.6666666666666665,3.6666666666666665,3.0,2.0,2.6666666666666665,4.5,2.0,4.5,2.0
408,promotion,Female,50–59,High school,Student,Single,"36,000,000–45,000,000 VND",Chinese,3,2,2,4,3,2,4,5,2,1,1,3,2,3,4,3,4,5,2,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample408__promotion,2.3333333333333335,3.0,3.6666666666666665,1.6666666666666667,3.0,3.5,2.5,3.5,2.0
409,promotion,Female,50–59,High school,Civil servant,Living with parents,">46,000,000 VND",Chinese,2,5,1,3,4,3,1,2,3,2,3,5,1,5,1,3,4,2,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample409__promotion,2.6666666666666665,3.3333333333333335,2.0,3.3333333333333335,2.3333333333333335,3.5,2.5,3.5,2.0
410,promotion,Female,50–59,High school,Civil servant,Divorced,"16,000,000–25,000,000 VND",Chinese,1,3,1,2,1,3,5,1,5,2,1,1,1,4,2,3,4,5,4,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample410__promotion,1.6666666666666667,2.0,3.6666666666666665,1.3333333333333333,2.3333333333333335,3.5,3.5,4.0,3.0
411,promotion,Male,>60,Postgraduate degree,Civil servant,Living with parents,"16,000,000–25,000,000 VND",Chinese,3,1,4,4,3,1,4,3,3,1,5,5,2,4,1,3,4,5,2,1.0,2.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample411__promotion,2.6666666666666665,2.6666666666666665,3.3333333333333335,3.6666666666666665,2.3333333333333335,3.5,3.0,3.5,2.3333333333333335
412,promotion,Male,30–39,Postgraduate degree,Office worker,Single,">46,000,000 VND",Chinese,1,5,4,4,5,3,4,2,5,5,1,1,5,5,5,5,6,5,4,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample412__promotion,3.3333333333333335,4.0,3.6666666666666665,2.3333333333333335,5.0,5.5,3.5,5.0,3.0
413,promotion,Male,>60,High school,Blue-collar worker,Divorced,"26,000,000–35,000,000 VND",Chinese,3,4,1,5,2,3,3,3,5,3,3,2,1,2,5,4,5,3,4,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample413__promotion,2.6666666666666665,3.3333333333333335,3.6666666666666665,2.6666666666666665,2.6666666666666665,4.5,2.0,4.0,2.0
414,promotion,Male,>60,High school,Managerial employee,Living with parents,"<15,000,000 VND",Chinese,1,1,4,2,3,1,1,4,1,3,5,3,5,2,2,3,4,4,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample414__promotion,2.0,2.0,2.0,3.6666666666666665,3.0,3.5,2.5,4.0,2.0
415,promotion,Female,<20,Bachelor’s degree,Other,Living with parents,"36,000,000–45,000,000 VND",Chinese,2,4,1,4,5,3,5,4,4,3,1,4,2,3,1,4,5,4,3,2.0,3.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample415__promotion,2.3333333333333335,4.0,4.333333333333333,2.6666666666666665,2.0,4.5,3.0,4.0,2.6666666666666665
416,promotion,Male,<20,Postgraduate degree,Student,Married,"36,000,000–45,000,000 VND",Chinese,2,2,5,3,1,5,4,5,2,4,5,3,5,4,5,4,3,3,5,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample416__promotion,3.0,3.0,3.6666666666666665,4.0,4.666666666666667,3.5,2.0,3.75,2.0
417,promotion,Male,20–29,High school,Student,Divorced,"16,000,000–25,000,000 VND",Chinese,2,3,5,2,5,2,2,4,5,2,1,5,5,3,4,3,4,3,5,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample417__promotion,3.3333333333333335,3.0,3.6666666666666665,2.6666666666666665,4.0,3.5,2.0,3.75,2.0
418,promotion,Male,40–49,Bachelor’s degree,Civil servant,Living with parents,"<15,000,000 VND",Chinese,2,1,4,3,1,4,4,3,4,4,4,5,2,2,5,3,4,4,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample418__promotion,2.3333333333333335,2.6666666666666665,3.6666666666666665,4.333333333333333,3.0,3.5,2.5,4.0,2.0
419,promotion,Male,50–59,Bachelor’s degree,Other,Single,"36,000,000–45,000,000 VND",Chinese,2,1,3,1,4,5,3,5,2,2,3,2,3,3,3,3,4,5,2,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample419__promotion,2.0,3.3333333333333335,3.3333333333333335,2.3333333333333335,3.0,3.5,2.5,3.5,2.0
420,promotion,Female,>60,High school,Blue-collar worker,Living with parents,">46,000,000 VND",Chinese,4,4,4,3,1,1,4,1,2,5,4,1,1,4,3,3,4,3,5,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample420__promotion,4.0,1.6666666666666667,2.3333333333333335,3.3333333333333335,2.6666666666666665,3.5,3.5,3.75,3.0
421,promotion,Female,20–29,Postgraduate degree,Civil servant,Married,"26,000,000–35,000,000 VND",Chinese,1,5,4,1,2,2,3,2,2,1,3,5,3,3,3,4,5,3,6,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample421__promotion,3.3333333333333335,1.6666666666666667,2.3333333333333335,3.0,3.0,4.5,2.5,4.5,2.0
422,promotion,Female,>60,Postgraduate degree,Managerial employee,Divorced,"36,000,000–45,000,000 VND",Chinese,3,3,4,3,1,1,4,5,3,1,1,1,1,4,3,3,4,5,4,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample422__promotion,3.3333333333333335,1.6666666666666667,4.0,1.0,2.6666666666666665,3.5,3.5,4.0,3.0
423,promotion,Female,>60,Bachelor’s degree,Civil servant,Married,"16,000,000–25,000,000 VND",Chinese,5,2,1,3,1,5,1,1,2,3,3,1,1,3,5,3,4,2,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample423__promotion,2.6666666666666665,3.0,1.3333333333333333,2.3333333333333335,3.0,3.5,2.5,3.5,2.0
424,promotion,Female,30–39,Postgraduate degree,Other,Living with parents,"16,000,000–25,000,000 VND",Chinese,4,1,1,2,3,3,2,5,5,3,4,1,2,4,4,4,5,3,2,1.0,1.0,2.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample424__promotion,2.0,2.6666666666666665,4.0,2.6666666666666665,3.3333333333333335,4.5,1.5,3.5,1.3333333333333333
425,promotion,Male,40–49,Postgraduate degree,Managerial employee,Single,"26,000,000–35,000,000 VND",Chinese,3,1,4,4,3,5,5,2,5,2,3,4,4,3,3,3,4,5,4,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample425__promotion,2.6666666666666665,4.0,4.0,3.0,3.3333333333333335,3.5,2.0,4.0,2.0
426,promotion,Female,30–39,Postgraduate degree,Office worker,Living with parents,"26,000,000–35,000,000 VND",Chinese,1,3,2,5,5,5,1,1,2,3,2,4,4,1,5,3,4,2,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample426__promotion,2.0,5.0,1.3333333333333333,3.0,3.3333333333333335,3.5,2.5,3.5,2.0
427,promotion,Female,<20,Bachelor’s degree,Civil servant,Living with parents,"<15,000,000 VND",Chinese,3,2,4,4,4,2,1,5,3,3,1,4,3,3,2,3,4,4,5,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample427__promotion,3.0,3.3333333333333335,3.0,2.6666666666666665,2.6666666666666665,3.5,3.5,4.0,3.0
428,promotion,Female,40–49,Postgraduate degree,Blue-collar worker,Divorced,"16,000,000–25,000,000 VND",Chinese,1,5,4,4,1,5,4,1,1,2,5,5,1,4,4,4,5,3,6,,,,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample428__promotion,3.3333333333333335,3.3333333333333335,2.0,4.0,3.0,4.5,,4.5,
429,promotion,Male,50–59,Postgraduate degree,Civil servant,Divorced,"<15,000,000 VND",Chinese,1,5,1,2,1,4,1,5,4,1,4,1,4,2,5,3,4,3,5,2.0,3.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample429__promotion,2.3333333333333335,2.3333333333333335,3.3333333333333335,2.0,3.6666666666666665,3.5,3.0,3.75,2.6666666666666665
430,promotion,Male,50–59,High school,Civil servant,Divorced,"<15,000,000 VND",Chinese,5,4,1,2,5,2,3,4,5,2,4,5,4,4,2,4,5,3,6,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample430__promotion,3.3333333333333335,3.0,4.0,3.6666666666666665,3.3333333333333335,4.5,2.0,4.5,2.0
431,promotion,Male,50–59,High school,Blue-collar worker,Living with parents,"26,000,000–35,000,000 VND",Chinese,4,2,5,3,2,4,2,5,3,2,4,5,2,2,2,3,4,2,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample431__promotion,3.6666666666666665,3.0,3.3333333333333335,3.6666666666666665,2.0,3.5,2.5,3.5,2.0
432,promotion,Female,>60,Postgraduate degree,Civil servant,Married,"<15,000,000 VND",Chinese,5,2,5,2,5,4,3,3,3,2,5,1,4,4,1,3,4,3,5,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample432__promotion,4.0,3.6666666666666665,3.0,2.6666666666666665,3.0,3.5,3.5,3.75,3.0
433,promotion,Female,30–39,High school,Office worker,Married,"26,000,000–35,000,000 VND",Chinese,1,2,1,3,3,4,2,2,5,2,4,1,5,4,2,3,4,4,5,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample433__promotion,1.3333333333333333,3.3333333333333335,3.0,2.3333333333333335,3.6666666666666665,3.5,3.5,4.0,3.0
434,promotion,Male,40–49,Postgraduate degree,Blue-collar worker,Married,"<15,000,000 VND",Chinese,1,3,5,5,3,4,5,5,5,4,5,2,4,4,4,3,4,5,4,,,,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample434__promotion,3.0,4.0,5.0,3.6666666666666665,4.0,3.5,,4.0,
435,promotion,Female,40–49,Bachelor’s degree,Civil servant,Single,"26,000,000–35,000,000 VND",Chinese,1,4,1,2,5,1,2,1,2,5,3,2,2,2,4,3,4,2,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample435__promotion,2.0,2.6666666666666665,1.6666666666666667,3.3333333333333335,2.6666666666666665,3.5,2.5,3.5,2.0
436,promotion,Female,<20,Postgraduate degree,Office worker,Divorced,">46,000,000 VND",Chinese,5,2,2,5,2,2,5,1,5,2,4,3,3,3,2,3,4,4,5,2.0,3.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample436__promotion,3.0,3.0,3.6666666666666665,3.0,2.6666666666666665,3.5,3.0,4.0,2.6666666666666665
437,promotion,Male,40–49,High school,Student,Married,"<15,000,000 VND",Chinese,2,5,4,2,1,3,1,4,5,5,3,1,5,4,5,3,4,2,5,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample437__promotion,3.6666666666666665,2.0,3.3333333333333335,3.0,4.666666666666667,3.5,2.5,3.5,2.0
438,promotion,Male,<20,High school,Blue-collar worker,Married,"26,000,000–35,000,000 VND",Chinese,3,5,4,2,5,5,1,2,4,4,1,1,1,1,1,3,4,3,5,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample438__promotion,4.0,4.0,2.3333333333333335,2.0,1.0,3.5,2.0,3.75,2.0
439,promotion,Female,40–49,High school,Office worker,Married,">46,000,000 VND",Chinese,1,3,1,1,2,1,5,2,2,2,2,5,2,5,5,3,4,3,5,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample439__promotion,1.6666666666666667,1.3333333333333333,3.0,3.0,4.0,3.5,3.5,3.75,3.0
440,promotion,Female,20–29,High school,Blue-collar worker,Single,">46,000,000 VND",Chinese,4,1,5,5,3,3,1,1,4,1,4,3,3,3,5,4,5,3,6,1.0,2.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample440__promotion,3.3333333333333335,3.6666666666666665,2.0,2.6666666666666665,3.6666666666666665,4.5,2.5,4.5,2.0
441,promotion,Male,50–59,Postgraduate degree,Student,Single,"26,000,000–35,000,000 VND",Chinese,5,2,2,4,4,3,2,3,3,2,2,4,2,5,4,4,5,3,6,2.0,1.0,3.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample441__promotion,3.0,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.6666666666666665,4.5,2.0,4.5,2.0
442,promotion,Female,40–49,High school,Managerial employee,Married,"16,000,000–25,000,000 VND",Chinese,5,1,1,5,2,5,5,5,2,2,4,5,4,4,3,3,4,5,3,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample442__promotion,2.3333333333333335,4.0,4.0,3.6666666666666665,3.6666666666666665,3.5,3.5,3.75,3.0
443,promotion,Male,30–39,Bachelor’s degree,Office worker,Living with parents,"26,000,000–35,000,000 VND",Chinese,4,4,3,4,1,1,4,4,5,5,3,4,1,1,4,4,5,3,6,2.0,3.0,4.0,3,deepseek-v2_236b_3.csv,deepseek-v2_236b,deepseek-v2_236b__run03__sample443__promotion,3.6666666666666665,2.0,4.333333333333333,4.0,2.0,4.5,3.5,4.5,3.0
